url,label,using_ip,long_url,having_@_symbol,redirection_//_symbol,has_dash_-_symbol,numof_sub_domains,non_std_port,abnormal_url,google_index,count.,count-www,count@,count_dir,count_embed_domian,count%,count?,count-,count=,url_length,hostname_length,sus_url,has_http,has_special_char,misspell_brand_name,url_entropy,count_digits,count_parameters,count_fragments,is_online,days_since_domain_registered,days_until_domain_expires,num_html_chars,num_headings,num_images,num_links,num_script_chars,num_special_chars,script_to_special_char_ratio,script_to_body_ratio,count_redirects,count_external_links,count_iframes,has_privacy_policy,domain_registered_long_ago,domain_expiration_far_future,favicon_external,length_of_path,num_of_delimiters,using_https,num_of_subdirectories,url_is_ip
amazon.com/Free-Willy-2/dp/B001QVREM4,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,2,0,37,0,0,0,0,0,4.702564514219128,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,37,0,0,3,0
facebook.com/people/Alwyn-Jones/100000383920555,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,1,0,47,0,0,0,0,0,4.392265649909749,15,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,47,0,0,3,0
twitter.com/johnbethune,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,23,0,0,0,0,0,3.708132064658602,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,23,0,0,1,0
crocdundeemuzik.blogspot.com/,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,29,0,0,0,0,0,4.073329701949522,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,-1,-1,-1,29,0,0,1,0
linkedin.com/in/timfletcher,benign,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,27,0,0,0,0,0,3.736006946447656,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,27,0,0,2,0
imdb.com/name/nm0211381/bio,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,27,0,0,0,0,0,3.8100810205217313,7,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,27,0,0,3,0
volleyball.org/avp/results_03Apr05.html,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,39,0,0,0,0,0,4.252974975106084,4,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,39,1,0,2,0
triblocal.com/mundelein/community/stories/2010/12/community-high-school-district-128-announces-its-2011-12-illinois-state-scholars/,benign,0,1,0,0,0,1,0,0,1,1,0,0,7,0,0,0,11,0,131,0,0,0,0,0,4.298019397774934,15,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,131,0,0,7,0
en.wikipedia.org/wiki/Gene_Gauntier,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,35,0,0,0,0,0,3.8185886460613294,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,35,1,0,2,0
aldo-nova.thelyricarchive.com/,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,30,0,0,0,0,0,3.9647351787255047,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,30,0,0,1,0
